x            y_obs        weight       y_calc       y_bkg        
16.74        43.0         0.02326      36.316       36.279       
16.76        57.0         0.01754      36.26        36.221       
16.78        39.0         0.02564      36.203       36.164       
16.8         38.0         0.02632      36.147       36.106       
16.82        33.0         0.0303       36.091       36.049       
16.84        38.0         0.02632      36.035       35.992       
16.86        31.0         0.03226      35.98        35.936       
16.88        43.0         0.02326      35.924       35.879       
16.9         38.0         0.02632      35.869       35.823       
16.92        46.0         0.02174      35.814       35.767       
16.94        38.0         0.02632      35.76        35.711       
16.96        32.0         0.03125      35.706       35.655       
16.98        30.0         0.03333      35.652       35.599       
17.0         34.0         0.02941      35.598       35.544       
17.02        40.0         0.025        35.544       35.489       
17.04        38.0         0.02632      35.491       35.434       
17.06        40.0         0.025        35.438       35.379       
17.08        37.0         0.02703      35.386       35.325       
17.1         34.0         0.02941      35.333       35.27        
17.12        40.0         0.025        35.281       35.216       
17.14        32.0         0.03125      35.23        35.162       
17.16        34.0         0.02941      35.178       35.108       
17.18        46.0         0.02174      35.127       35.055       
17.2         31.0         0.03226      35.076       35.001       
17.22        40.0         0.025        35.026       34.948       
17.24        40.0         0.025        34.976       34.895       
17.26        39.0         0.02564      34.926       34.842       
17.28        22.0         0.04545      34.877       34.789       
17.3         40.0         0.025        34.828       34.737       
17.32        37.0         0.02703      34.779       34.685       
17.34        38.0         0.02632      34.731       34.633       
17.36        40.0         0.025        34.684       34.581       
17.38        32.0         0.03125      34.636       34.529       
17.4         33.0         0.0303       34.59        34.477       
17.42        33.0         0.0303       34.543       34.426       
17.44        33.0         0.0303       34.498       34.375       
17.46        32.0         0.03125      34.453       34.324       
17.48        36.0         0.02778      34.408       34.273       
17.5         44.0         0.02273      34.364       34.223       
17.52        37.0         0.02703      34.321       34.172       
17.54        27.0         0.03704      34.281       34.122       
17.56        39.0         0.02564      34.24        34.072       
17.58        34.0         0.02941      34.201       34.022       
17.6         32.0         0.03125      34.161       33.972       
17.62        38.0         0.02632      34.123       33.923       
17.64        42.0         0.02381      34.085       33.873       
17.66        36.0         0.02778      34.049       33.824       
